;;;;;;;;;0;0;;;;0;
Società (B);Quadro (C);Altro (D);Ricla MG esteso (E);Codice Conto (F);Conto COGE (G);Cluster II (H);Conto COGE I livello (I);Conto COGE II livello (J);Valore mese € — CVS;Valore mese € — De Giorgi;Stato;Nota;;TOTALE;
CVS;SP;;Cash & Cash Equivalent;180227;Banca Pop. Emilia C/C 203;;Disponibilità Liquide;CIV.1 - depositi bancari e postali;4.198.567,61;0;;Bilancio di Verifica;;4.198.567,61;180227
CVS;SP;;Cash & Cash Equivalent;180229;Banca Unicredit C/C 5305;;Disponibilità Liquide;CIV.1 - depositi bancari e postali;0;0;;assente nel grezzo → 0 (nessuna attività);;0;180229
CVS;SP;;Cash & Cash Equivalent;180231;Banco Posta C/C 522;;Disponibilità Liquide;CIV.1 - depositi bancari e postali;448,71;0;;Bilancio di Verifica;;448,71;180231
CVS;SP;;Cash & Cash Equivalent;180235;Carta Prepagata Intesa 2203;;Disponibilità Liquide;CIV.1 - depositi bancari e postali;0;0;;assente nel grezzo → 0 (nessuna attività);;0;180235
CVS;SP;;Cash & Cash Equivalent;180239;Carta Prepagata Intesa 4805;;Disponibilità Liquide;CIV.1 - depositi bancari e postali;0;0;;assente nel grezzo → 0 (nessuna attività);;0;180239
CVS;SP;;Cash & Cash Equivalent;180241;Carta Prepagata Intesa 0903;;Disponibilità Liquide;CIV.1 - depositi bancari e postali;0;0;;assente nel grezzo → 0 (nessuna attività);;0;180241
CVS;SP;;Cash & Cash Equivalent;180243;BPM c/c 3269;;N/A_Conti Infrannuali;N/A_conti infrannuali;1.053.391,40;0;;Bilancio di Verifica;;1.053.391,40;180243
CVS;SP;;Cash & Cash Equivalent;180245;Igea c/c 2293 (ex Racale);;N/A_Conti Infrannuali;N/A_conti infrannuali;0;0;;assente nel grezzo → 0 (nessuna attività);;0;180245
CVS;SP;;Cash & Cash Equivalent;180246;Igea c/c 2293;;TBD;TBD;0;0;;assente nel grezzo → 0 (nessuna attività);;0;180246
CVS;SP;;Cash & Cash Equivalent;180247;BPM c/c 4945;;N/A_Conti Infrannuali;N/A_conti infrannuali;140.937,60;0;;Bilancio di Verifica;;140.937,60;180247
CVS;SP;;Cash & Cash Equivalent;180249;BPM c/c 3502;;N/A_Conti Infrannuali;N/A_conti infrannuali;27.903,26;0;;Bilancio di Verifica;;27.903,26;180249
CVS;SP;;Cash & Cash Equivalent;180251;BPM c/c 4499;;N/A_Conti Infrannuali;N/A_conti infrannuali;464.584,30;0;;Bilancio di Verifica;;464.584,30;180251
CVS;SP;;Cash & Cash Equivalent;180253;BPM c/c 3080;;N/A_Conti Infrannuali;N/A_conti infrannuali;88.654,57;0;;Bilancio di Verifica;;88.654,57;180253
CVS;SP;;Cash & Cash Equivalent;180255;Banca Biver (Asti);;Disponibilità Liquide;CIV.1 - depositi bancari e postali;13.823,53;0;;Bilancio di Verifica;;13.823,53;180255
CVS;SP;;Gross Debt;180257;Carta Banca Popolare Emilia;;Debiti Verso Banche;D.4 - debiti verso banche;268;0;;Bilancio di Verifica;;268;180257
CVS;SP;;Gross Debt;180259;Carta Banca Intesa;;Disponibilità Liquide;D.4 - debiti verso banche;-1628,5;0;;Bilancio di Verifica;;-1.628,50;180259
CVS;SP;;Gross Debt;180261;Carta MPS;;Disponibilità Liquide;D.4 - debiti verso banche;1808,5;0;;Bilancio di Verifica;;1.808,50;180261
CVS;SP;;Cash & Cash Equivalent;180263;Banca Unicredit C/C 6783;;Disponibilità Liquide;CIV.1 - depositi bancari e postali;0;0;;assente nel grezzo → 0 (nessuna attività);;0;180263
CVS;SP;;Cash & Cash Equivalent;180265;Banca Intesa C/C 6112;;N/A_Conti Infrannuali;N/A_conti infrannuali;-1,5;0;;Bilancio di Verifica;;-1,5;180265
CVS;SP;;Cash & Cash Equivalent;180267;BPM C/C 0526;;Disponibilità Liquide;CIV.1 - depositi bancari e postali;26.202,67;0;;Bilancio di Verifica;;26.202,67;180267
CVS;SP;;Cash & Cash Equivalent;180271;Carta Bper 6467;;Disponibilità Liquide;CIV.1 - depositi bancari e postali;0;0;;assente nel grezzo → 0 (nessuna attività);;0;180271
CVS;SP;;Cash & Cash Equivalent;180273;BPER Banca c/c 6637;;N/A_Conti Infrannuali;N/A_conti infrannuali;162.028,18;0;;Bilancio di Verifica;;162.028,18;180273
CVS;SP;;Cash & Cash Equivalent;180275;Carta Bper 5729;;N/A_Conti Infrannuali;N/A_conti infrannuali;172,48;0;;Bilancio di Verifica;;172,48;180275
CVS;SP;;Cash & Cash Equivalent;180277;Carta Bper 5737;;N/A_Conti Infrannuali;N/A_conti infrannuali;1784,6;0;;Bilancio di Verifica;;1.784,60;180277
CVS;SP;;Cash & Cash Equivalent;180279;Carta Bper 5752;;N/A_Conti Infrannuali;N/A_conti infrannuali;1,76;0;;Bilancio di Verifica;;1,76;180279
CVS;SP;;Cash & Cash Equivalent;180281;Carta Bper 5745;;N/A_Conti Infrannuali;N/A_conti infrannuali;311,85;0;;Bilancio di Verifica;;311,85;180281
CVS;SP;;Cash & Cash Equivalent;180283;Banco Posta C/C 294;;N/A_Conti Infrannuali;N/A_conti infrannuali;869,98;0;;Bilancio di Verifica;;869,98;180283
CVS;SP;;Cash & Cash Equivalent;180285;Carta Bper 2384;;N/A_Conti Infrannuali;N/A_conti infrannuali;2756,07;0;;Bilancio di Verifica;;2.756,07;180285
CVS;SP;;Cash & Cash Equivalent;180287;Banca Adria C/C 2544;;TBD;TBD;1.318.575,45;0;;Bilancio di Verifica;;1.318.575,45;180287
CVS;SP;;Cash & Cash Equivalent;180289;Banca Intesa San Paolo C/C 12616;;TBD;TBD;2984,46;0;;Bilancio di Verifica;;2.984,46;180289
CVS;SP;;Cash & Cash Equivalent;180291;Carta Prepagata 8515860;;TBD;TBD;395,41;0;;Bilancio di Verifica;;395,41;180291
CVS;SP;;Cash & Cash Equivalent;180295;Carta Prepagata 4830630006208302 - Intesa;;TBD;TBD;-2,25;0;;Bilancio di Verifica;;-2,25;180295
CVS;SP;;Cash & Cash Equivalent;180297;Carta Intesa N 47;;TBD;TBD;0;0;;assente nel grezzo → 0 (nessuna attività);;0;180297
CVS;SP;;Cash & Cash Equivalent;180299;Carta 8519873;;TBD;TBD;460,52;0;;Bilancio di Verifica;;460,52;180299
CVS;SP;;Cash & Cash Equivalent;180301;Carta 8519874;;TBD;TBD;87,78;0;;Bilancio di Verifica;;87,78;180301
CVS;SP;;Cash & Cash Equivalent;180303;Carta 8519875;;TBD;TBD;0,61;0;;Bilancio di Verifica;;0,61;180303
CVS;SP;;Cash & Cash Equivalent;180307;Nexi Carta 7371;;TBD;TBD;-621,03;0;;Bilancio di Verifica;;-621,03;180307
CVS;SP;;Cash & Cash Equivalent;180309;Nexi Carta 2803;;TBD;TBD;3338,42;0;;Bilancio di Verifica;;3.338,42;180309
CVS;SP;;Cash & Cash Equivalent;180311;Nexi Carta 9856;;TBD;TBD;-779,27;0;;Bilancio di Verifica;;-779,27;180311
CVS;SP;;Cash & Cash Equivalent;180313;Banca Marca C/C 979452;;TBD;TBD;524.561,23;0;;Bilancio di Verifica;;524.561,23;180313
CVS;SP;;Cash & Cash Equivalent;180315;Carta Intesa N 79;;TBD;TBD;0,01;0;;Bilancio di Verifica;;0,01;180315
CVS;SP;;Cash & Cash Equivalent;180317;Nexi Carta 8636;;TBD;TBD;-587,39;0;;Bilancio di Verifica;;-587,39;180317
CVS;SP;;Cash & Cash Equivalent;180319;Banca Pop. Emilia C/C 409;;TBD;TBD;39.673,79;0;;Bilancio di Verifica;;39.673,79;180319
CVS;SP;;Cash & Cash Equivalent;180321;Banca Pop. Emilia C/C 735;;TBD;TBD;344.830,48;0;;Bilancio di Verifica;;344.830,48;180321
CVS;SP;;Cash & Cash Equivalent;180323;Carta 8570257;;TBD;TBD;105,35;0;;Bilancio di Verifica;;105,35;180323
CVS;SP;;Cash & Cash Equivalent;180325;Banca Intesa San Paolo C/C 258;;TBD;TBD;240.562,87;0;;Bilancio di Verifica;;240.562,87;180325
CVS;SP;;Cash & Cash Equivalent;180327;Banca Intesa San Paolo C/C 171;;TBD;TBD;132.826,55;0;;Bilancio di Verifica;;132.826,55;180327
CVS;SP;;Cash & Cash Equivalent;180329;Banca Intesa San Paolo C/C 176;;TBD;TBD;322.932,67;0;;Bilancio di Verifica;;322.932,67;180329
CVS;SP;;Cash & Cash Equivalent;180331;Banca c/c (RSEE);;TBD;TBD;68.270,01;0;;Bilancio di Verifica;;68.270,01;180331
CVS;SP;;Cash & Cash Equivalent;180333;Banca Unicredit c/c 3810;;TBD;TBD;21.886,84;0;;Bilancio di Verifica;;21.886,84;180333
CVS;SP;;Cash & Cash Equivalent;180335;Banca c/c RSEE BPM;;TBD;TBD;96,16;0;;Bilancio di Verifica;;96,16;180335
CVS;SP;;Cash & Cash Equivalent;180337;Banca Unicredit c/c 8410;;TBD;TBD;1.451.695,41;0;;Bilancio di Verifica;;1.451.695,41;180337
CVS;SP;;Cash & Cash Equivalent;180351;Banca Unicredit c/c 3254;;TBD;CIV.1 - depositi bancari e postali;18.937,43;0;;Bilancio di Verifica;;18.937,43;180351
CVS;SP;;Other Liabilities;200203;Risconti Passivi;;Ratei E Risconti Passivi;E - RATEI E RISCONTI PASSIVI;-214.497,64;-994,37;;Bilancio di Verifica;;-215.492,01;200203
CVS;SP;;Share Capital;220201;Capitale Sociale;;Capitale;Al - capitale;-1.699.000;-100.000;;Bilancio di Verifica;;-1.799.000,00;220201
CVS;SP;;Other Reserves;220203;Riserva Sovrapprezzo Azioni;;TBD;TBD;0;0;;assente nel grezzo → 0 (nessuna attività);;0;220203
CVS;SP;;Legal Reserve;220207;Riserva Legale;;Riserva Legale ;A/V - riserva legale;-320.642,72;-20.000;;Bilancio di Verifica;;-340.642,72;220207
CVS;SP;;Other Reserves;220209;Riserva Staordinaria;;N/A_Conti Infrannuali;N/A_conti infrannuali;-1.369.957,26;-1.316.043,91;;Bilancio di Verifica;;-2.686.001,17;220209
CVS;SP;;Other Reserves;220213;Ris. Per Operaz. Di Copertura Dei  Flussi Finanz. Attesi;;Varie Altre Riserve;AVII - riserva per operazioni di copertura dei flussi finanziari attesi;6367,63;0;;Bilancio di Verifica;;6.367,63;220213
CVS;SP;;Capital Call;220215;Riserva C/Aumento Capitale;;Riserva C/Aumento Capitale;AVI - altre riserve distintamente indicate;-193.410.191;0;;Bilancio di Verifica;;-193.410.191,00;220215
CVS;SP;;Retained Earnings;220217;Perdite/Utili A Nuovo;;Utili (Perdita) Portati A Nuovo;AVIII - utile (perdita) portati a nuovo;-3.547.477,14;0;;Bilancio di Verifica;;-3.547.477,14;220217
CVS;SP;;Retained Earnings;220219;Perdite/Utili Esercizio Precedente;;N/A_Conti Infrannuali;N/A_conti infrannuali;1405;0;;Bilancio di Verifica;;1.405,00;220219
CVS;SP;;Retained Earnings;220221;Perdita/Utile d'Esercizio;;Varie Altre Riserve;IX - Utile (perdita) dell'esercizio;-1;0;;Bilancio di Verifica;;-1;220221
CVS;SP;;Other Reserves;220225;Avanzo di Fusione;;Varie Altre Riserve;AVI - altre riserve distintamente indicate;-19.537.123,11;0;;Bilancio di Verifica;;-19.537.123,11;220225
CVS;SP;;Other Reserves;220227;Avanzo di Concambio;;Varie Altre Riserve;AVI - altre riserve distintamente indicate;-747.631;0;;Bilancio di Verifica;;-747.631,00;220227
CVS;SP;;Share Capital;220229;Opening Balance;;TBD;TBD;0;0;;assente nel grezzo → 0 (nessuna attività);;0;220229
CVS;SP;;Share Capital;220233;Riserva FTA;;TBD;TBD;1.075.640,11;0;;Bilancio di Verifica;;1.075.640,11;220233
CVS;SP;;Share Capital;220235;Riserva OCI;;TBD;TBD;-36.817,82;0;;Bilancio di Verifica;;-36.817,82;220235
CVS;SP;;Share Capital;220237;Riserva Statutaria;;TBD;TBD;-16.075;0;;Bilancio di Verifica;;-16.075,00;220237
CVS;SP;;Risk Provisions;240201;Fondo Rischi;;Fondo Per Rischi E Oneri;B.4 - altri;-524;0;;Bilancio di Verifica;;-524;240201
CVS;SP;;Deferred Tax;240219;Fondo Imposte Differite;;Fondo Per Rischi E Oneri;B.2 - per imposte anche differite;-6.867.686,91;-12.332,93;;Bilancio di Verifica;;-6.880.019,84;240219
CVS;SP;;TFR and Other Provision;240221;Fondi Trattamento Quiescienza Ed Obblighi  Simili;;Fondo Per Rischi E Oneri;B.4 - altri;0;0;;assente nel grezzo → 0 (nessuna attività);;0;240221
CVS;SP;;Risk Provisions;240223;Fondo Rischi Altri accantonamenti;;Fondo Per Rischi E Oneri;B.4 - altri;-689.613,15;0;;Bilancio di Verifica;;-689.613,15;240223
CVS;SP;;Risk Provisions;240225;Fondo Strumenti Finanziari Derivati Passivi;;Fondo Per Rischi E Oneri;B.3 - Strumenti finanziari passivi;-8390,3;0;;Bilancio di Verifica;;-8.390,30;240225
CVS;SP;;Risk Provisions;240227;Fondo Rischi Cause in Corso;;TBD;TBD;-721.576,75;0;;Bilancio di Verifica;;-721.576,75;240227
CVS;SP;;TFR and Other Provision;260201;Fondo TFR;;Trattamento Di Fine Rapporto;C - TRATTAMENTO DI FINE RAPPORTO DI LAVORO SUBORDINATO;-952.563,54;-56.206,46;;Bilancio di Verifica;;-1.008.770,00;260201
CVS;SP;;Gross Debt;280211;Finanziamento Bper Linea Revolving;;Debiti Verso Banche;D.4 - debiti verso banche;0;0;;assente nel grezzo → 0 (nessuna attività);;0;280211
CVS;SP;;Gross Debt;280217;Mps C/Anticipi;;Debiti Verso Banche;D.4 - debiti verso banche;0;0;;assente nel grezzo → 0 (nessuna attività);;0;280217
CVS;SP;;Gross Debt;280221;Finanziamento Bper Linea Senior;;Debiti Verso Banche;D.4 - debiti verso banche;327.623,68;0;;Bilancio di Verifica;;327.623,68;280221
CVS;SP;;Gross Debt;280225;Mutuo FIN-0492;;Debiti Verso Banche;D.4 - debiti verso banche;0;0;;assente nel grezzo → 0 (nessuna attività);;0;280225
CVS;SP;;Gross Debt;280227;Mutuo Comune di San Vito;;Debiti Verso Banche;D.4 - debiti verso banche;0;0;;assente nel grezzo → 0 (nessuna attività);;0;280227
CVS;SP;;Gross Debt;280229;Mutuo Comune di Sant'Eufemia Maiella;;Debiti Verso Banche;D.4 - debiti verso banche;0;0;;assente nel grezzo → 0 (nessuna attività);;0;280229
CVS;SP;;Gross Debt;280231;Mutuo FIN-1185;;Debiti Verso Banche;D.4 - debiti verso banche;0;0;;assente nel grezzo → 0 (nessuna attività);;0;280231
CVS;SP;;Gross Debt;280233;Mutuo Comune di Lanuvio;;Debiti Verso Banche;D.4 - debiti verso banche;0;0;;assente nel grezzo → 0 (nessuna attività);;0;280233
CVS;SP;;Gross Debt;280235;Mutuo FIN-6355;;Debiti Verso Banche;D.4 - debiti verso banche;0;0;;assente nel grezzo → 0 (nessuna attività);;0;280235
CVS;SP;;Gross Debt;280237;Mutuo FIN-9235;;Debiti Verso Banche;D.4 - debiti verso banche;0;0;;assente nel grezzo → 0 (nessuna attività);;0;280237
CVS;SP;;Gross Debt;280239;Mutuo FIN-9266;;Debiti Verso Banche;D.4 - debiti verso banche;0;0;;assente nel grezzo → 0 (nessuna attività);;0;280239
CVS;SP;;Gross Debt;280241;Mutuo Comune di Polesine Zibello;;Debiti Verso Banche;D.4 - debiti verso banche;0;0;;assente nel grezzo → 0 (nessuna attività);;0;280241
CVS;SP;;Gross Debt;280243;Mutuo FIN-8029;;Debiti Verso Banche;D.4 - debiti verso banche;0;0;;assente nel grezzo → 0 (nessuna attività);;0;280243
CVS;SP;;Gross Debt;280245;Mutuo Comune di Palombara Sabina;;Debiti Verso Banche;D.4 - debiti verso banche;0;0;;assente nel grezzo → 0 (nessuna attività);;0;280245
CVS;SP;;Gross Debt;280247;Mutuo FIN-7024;;Debiti Verso Banche;D.4 - debiti verso banche;0;0;;assente nel grezzo → 0 (nessuna attività);;0;280247
CVS;SP;;Gross Debt;280249;Mutuo Comune di Bellante;;Debiti Verso Banche;D.4 - debiti verso banche;0;0;;assente nel grezzo → 0 (nessuna attività);;0;280249
CVS;SP;;Gross Debt;280251;Mutuo INV-401;;Debiti Verso Banche;D.4 - debiti verso banche;0;0;;assente nel grezzo → 0 (nessuna attività);;0;280251
CVS;SP;;Gross Debt;280253;Mutuo INV-925;;Debiti Verso Banche;D.4 - debiti verso banche;0;0;;assente nel grezzo → 0 (nessuna attività);;0;280253
CVS;SP;;Gross Debt;280255;Mutui CARIGE FIN-2595;;Debiti Verso Banche;D.4 - debiti verso banche;0;0;;assente nel grezzo → 0 (nessuna attività);;0;280255
CVS;SP;;Gross Debt;280257;Mutui CREVAL FIN-8028;;Debiti Verso Banche;D.4 - debiti verso banche;0;0;;assente nel grezzo → 0 (nessuna attività);;0;280257
CVS;SP;;Gross Debt;280259;Mutui INTESA S.PAOLO FIN-6875;;Debiti Verso Banche;D.4 - debiti verso banche;0;0;;assente nel grezzo → 0 (nessuna attività);;0;280259
CVS;SP;;Gross Debt;280261;Mutui CARIGE 94734/003;;Debiti Verso Banche;D.4 - debiti verso banche;0;0;;assente nel grezzo → 0 (nessuna attività);;0;280261
CVS;SP;;Gross Debt;280265;Mutuo FIN-9866;;Debiti Verso Banche;D.4 - debiti verso banche;0;0;;assente nel grezzo → 0 (nessuna attività);;0;280265
CVS;SP;;Gross Debt;280271;Finanziamento Banca Marca 049/237181/01;;Debiti Verso Banche;D.4 - debiti verso banche;0;0;;assente nel grezzo → 0 (nessuna attività);;0;280271
CVS;SP;;Gross Debt;280275;Finanziamento BPM;;Debiti Verso Banche;D.4 - debiti verso banche;0;0;;assente nel grezzo → 0 (nessuna attività);;0;280275
CVS;SP;;Gross Debt;280277;Finanziamento Credit Agricole;;Debiti Verso Banche;D.4 - debiti verso banche;0;0;;assente nel grezzo → 0 (nessuna attività);;0;280277
CVS;SP;;Gross Debt;280279;Finanziamento Banca Unicredit_Nuovo;;Debiti Verso Banche;D.4 - debiti verso banche;-24.795.591,89;0;;Bilancio di Verifica;;-24.795.591,89;280279
CVS;SP;;Gross Debt;280401;Finanziamento Volkswagen Bank;;Altri Debiti Finanziari;D.5 - debiti verso altri finanziatori;0;0;;assente nel grezzo → 0 (nessuna attività);;0;280401
CVS;SP;;Shareholder Financing;280403;Altri Debiti Finanziari;;Altri Debiti Finanziari;D.5 - debiti verso altri finanziatori;-263.994,92;0;;Bilancio di Verifica;;-263.994,92;280403
CVS;SP;;Gross Debt;280405;Passività correnti per diritto d'uso non correnti;;TBD;TBD;-1.445.322,96;0;;Bilancio di Verifica;;-1.445.322,96;280405
CVS;SP;;Gross Debt;280407;Passività correnti per diritto d'uso correnti;;TBD;TBD;-696.613,91;0;;Bilancio di Verifica;;-696.613,91;280407
CVS;SP;;Trade Payables;300203;Fornitori C/Spese Anticipate;;Debiti Verso Fornitori;D.7 - debiti verso fornitori;937,47;0;;Bilancio di Verifica;;937,47;300203
CVS;SP;;Trade Payables;300205;Fornitori Nazionali;;Debiti Verso Fornitori;D.7 - debiti verso fornitori;-11.376.460,64;-12.098,85;;Bilancio di Verifica;;-11.388.559,49;300205
CVS;SP;;Trade Payables;300207;Fornitori Esteri;;Debiti Verso Fornitori;D.7 - debiti verso fornitori;-125.938,44;0;;Bilancio di Verifica;;-125.938,44;300207
CVS;SP;;Other Liabilities;300209;Debiti Intercompany;;N/A_Conti Infrannuali;N/A_conti infrannuali;-555.236,14;0;;Bilancio di Verifica;;-555.236,14;300209
CVS;SP;;Shareholder Financing;320201;Soci C/Utili;;Debiti Vs. Collegate, Controllate E Altre;D.11 - debiti verso imprese controllanti;0;0;;assente nel grezzo → 0 (nessuna attività);;0;320201
CVS;SP;;Other Liabilities;320203;Debiti Vs. Imp. Controllate;;Debiti Vs. Collegate, Controllate E Altre;D.11 - debiti verso imprese controllanti;-52,5;0;;Bilancio di Verifica;;-52,5;320203
CVS;SP;;Other Liabilities;320207;Debiti Vs. Imp. Altre Imprese;;TBD;TBD;-18.872,54;0;;Bilancio di Verifica;;-18.872,54;320207
CVS;SP;;Other Liabilities;320209;Debiti Vs. Controllante;;Debiti Vs. Collegate, Controllate E Altre;D.11 - debiti verso imprese controllanti;-8.403.086,19;0;;Bilancio di Verifica;;-8.403.086,19;320209
CVS;SP;;Tax Debit;320401;Erario C/Imposta Sost. Riv. Tfr;;Crediti Tributari;CII.5-bis - crediti tributari;-4441,36;0;;Bilancio di Verifica;;-4.441,36;320401
CVS;SP;;Tax Debit;320403;Erario C/Ires;;Debiti Tributari;D.12 - debiti tributari;-1.240.534,82;5761,5;;Bilancio di Verifica;;-1.234.773,32;320403
CVS;SP;;Tax Credit;320405;Regioni C/Irap;;Crediti Tributari;CII.5-bis - crediti tributari;-245.102,92;4339;;Bilancio di Verifica;;-240.763,92;320405
CVS;SP;;Tax Debit;320407;Erario c/Ritenute lavoratori autonomi;;N/A_Conti Infrannuali;N/A_conti infrannuali;0;-3868,18;;assente nel grezzo → 0 (nessuna attività);;-3.868,18;320407
CVS;SP;;Tax Credit;320409;Erario C/Iva;;Crediti Tributari;CII.5-bis - crediti tributari;291.886,30;3253,16;;Bilancio di Verifica;;295.139,46;320409
CVS;SP;;Tax Debit;320411;Other Debiti Tributari;;N/A_Conti Infrannuali;N/A_conti infrannuali;1.777.219,46;0;;Bilancio di Verifica;;1.777.219,46;320411
CVS;SP;;Tax Debit;320413;Iva su Vendite;;Crediti Tributari;CII.5-bis - crediti tributari;-543.337,47;0;;Bilancio di Verifica;;-543.337,47;320413
CVS;SP;;Tax Debit;320415;Iva su Vendite Split Payment;;Crediti Tributari;CII.5-bis - crediti tributari;0;0;;assente nel grezzo → 0 (nessuna attività);;0;320415
CVS;SP;;Tax Debit;320417;Erario c/ritenute su dividendi;;Crediti Tributari;N/A_conti infrannuali;-428.566,25;0;;Bilancio di Verifica;;-428.566,25;320417
CVS;SP;;Tax Debit;320601;Erario Rit.Acc.Su Prest.Prof.;;Debiti Verso Istituti Di Previdenza;D.12 - debiti tributari;-29.791,33;1725,15;;Bilancio di Verifica;;-28.066,18;320601
CVS;SP;;Tax Debit;320603;Erario C/Rit. Lavoro Dipendente;;Debiti Verso Istituti Di Previdenza;D.12 - debiti tributari;-62.404,02;-1238,09;;Bilancio di Verifica;;-63.642,11;320603
CVS;SP;;Tax Debit;320605;Debiti V/Fondi Prev.;;Debiti Verso Istituti Di Previdenza;D.13 - debiti verso istituti di previdenza e di sicurezza sociale;-52.035,17;0;;Bilancio di Verifica;;-52.035,17;320605
CVS;SP;;Other Liabilities;320611;F.A.S.I.;;TBD;TBD;315,39;0;;Bilancio di Verifica;;315,39;320611
CVS;SP;;Tax Debit;320613;I.N.P.S. Dipendenti Carico Ditta;;Debiti Verso Istituti Di Previdenza;D.13 - debiti verso istituti di previdenza e di sicurezza sociale;-178.842,75;0;;Bilancio di Verifica;;-178.842,75;320613
CVS;SP;;Tax Debit;320617;I.N.A.I.L.;;Debiti Verso Istituti Di Previdenza;D.13 - debiti verso istituti di previdenza e di sicurezza sociale;-11.542,30;-338,59;;Bilancio di Verifica;;-11.880,89;320617
CVS;SP;;Other Liabilities;320803;Dipendenti C/Retribuzione;;Altri Debiti;D.14 - altri debiti;-882,83;-8573,76;;Bilancio di Verifica;;-9.456,59;320803
CVS;SP;;Shareholder Financing;320811;Soci C/Finanziamenti;;Altri Debiti;D.14 - altri debiti;-10.079.537,04;0;;Bilancio di Verifica;;-10.079.537,04;320811
CVS;SP;;Trade Payables;320813;Fatture da Ricevere;;Altri Debiti;D.7 - debiti verso fornitori;-3.513.488,77;-31.761,15;;Bilancio di Verifica;;-3.545.249,92;320813
CVS;SP;;Trade Receivables;320815;Clienti c/anticipi;;Altri Debiti;D.14 - altri debiti;646,59;-5000;;Bilancio di Verifica;;-4.353,41;320815
CVS;SP;;Other Liabilities;320817;Debiti v/Dipendenti CO.CO.CO;;Altri Debiti;D.14 - altri debiti;345,42;0;;Bilancio di Verifica;;345,42;320817
CVS;SP;;Trade Payables;320819;Note Di Credito Da Emettere;;Altri Debiti;CII.1 - verso clienti;-553.689,18;0;;Bilancio di Verifica;;-553.689,18;320819
CVS;SP;;Other Liabilities;320821;Debiti Vs Altri;;Altri Debiti;D.14 - altri debiti;-185.691,83;-2229,23;;Bilancio di Verifica;;-187.921,06;320821
CVS;SP;;Other Liabilities;320825;Dipendenti C/Retribuzione 13ma;;Altri Debiti;D.14 - altri debiti;-391.531,25;0;;Bilancio di Verifica;;-391.531,25;320825
CVS;SP;;Trade Payables;320827;Debito V/Comune di Spezzano Albanese;;TBD;TBD;-5871,6;0;;Bilancio di Verifica;;-5.871,60;320827
CVS;SP;;Trade Receivables;320829;Acconto cliente Comune Di Meolo;;TBD;TBD;-19.406,54;0;;Bilancio di Verifica;;-19.406,54;320829
CVS;SP;;Trade Receivables;320831;Acconto cliente Comune Di San Donà;;TBD;TBD;-223.335,30;0;;Bilancio di Verifica;;-223.335,30;320831
CVS;SP;;Other Liabilities;340213;Debiti Per Ferie Maturate E Non Godute;;Altri Debiti;D.14 - altri debiti;-1.001.544,81;0;;Bilancio di Verifica;;-1.001.544,81;340213
CVS;SP;;Other Liabilities;340215;Debiti Per Contributi Su Ferie Maturate;;Debiti Verso Istituti Di Previdenza;D.13 - debiti verso istituti di previdenza e di sicurezza sociale;-263.435,83;0;;Bilancio di Verifica;;-263.435,83;340215
CVS;SP;;Other Liabilities;340217;Debiti V/Cessionari Stipendio;;Altri Debiti;D.14 - altri debiti;-7498,69;0;;Bilancio di Verifica;;-7.498,69;340217
CVS;SP;;Other Credit;360201;Risconti Attivi;;Ratei E Risconti Attivi;D - RATEI E RISCONTI ATTIVI;314.967,42;5531,99;;Bilancio di Verifica;;320.499,41;360201
CVS;SP;;Other Liabilities;360203;Ratei Passivi;;Ratei E Risconti Passivi;E - RATEI E RISCONTI PASSIVI;-22.386,38;0;;Bilancio di Verifica;;-22.386,38;360203
CVS;CE;Revenues;Canone;620201;Ricavi;;Ricavi Delle Vendite E Delle Prestazioni;A1 - ricavi delle vendite e delle prestazioni;0;0;;spacchettato per classe sotto;;0;620201
CVS;CE;Revenues;Canone;620203;Ricavi I/C;;N/A_Conti Infrannuali;N/A_conti infrannuali;-789.276,15;0;;Bilancio di Verifica;;-789.276,15;620203
CVS;CE;R;Costruzioni Interne;640201;Capit. Costi di Imm. Immat.;;Incrementi Di Immobilizzazioni Per Lavori Interni;A4 - incrementi di immobilizzazioni per lavori interni;-2.824.723,56;0;;Bilancio di Verifica;;-2.824.723,56;640201
CVS;CE;R;Other Revenues;660201;Sconti, Ribassi e Abbuoni Attivi;;Altri Ricavi;#NAME?;-7206,23;-0,97;;Bilancio di Verifica;;-7.207,20;660201
CVS;CE;R;Other Revenues;660203;Altri Ricavi E Proventi Vari;;Altri Ricavi;#NAME?;-9498,5;-3770;;Bilancio di Verifica;;-13.268,50;660203
CVS;CE;C;Financial Income;660205;Differenze Di Cambio Attive;;Altri Ricavi;C. 17.bis - (utili) / perdite su cambi;0;0;;assente nel grezzo → 0 (nessuna attività);;0;660205
CVS;CE;R;Other Revenues;660207;Rimborso spese da bolletini postali;;Altri Ricavi;#NAME?;0;0;;assente nel grezzo → 0 (nessuna attività);;0;660207
CVS;CE;R;Other Revenues;660403;Plusvalenze;;Altri Ricavi;#NAME?;-3152,3;0;;Bilancio di Verifica;;-3.152,30;660403
CVS;CE;R;Extraordinary Item (Attive);660407;Sopravvenienze Attive;;Altri Ricavi;#NAME?;-23.438,42;-70;;Bilancio di Verifica;;-23.508,42;660407
CVS;CE;R;Extraordinary Item (Attive);660409;Sopravvenienze Attive Ord. Inded.;;Altri Ricavi;#NAME?;-1691,99;0;;Bilancio di Verifica;;-1.691,99;660409
